month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
13-Sep,"1,681.55","3,000.18","14,455.80","20,892.30"
13-Aug,"1,632.97","2,908.96","13,388.86","19,245.80"
13-Jul,"1,685.73","2,995.72","13,668.32","19,634.56"
13-Jun,"1,606.28","2,850.66","13,677.32","19,646.04"
13-May,"1,630.74","2,889.46","13,774.54","19,759.50"
13-Apr,"1,597.57","2,823.42","13,860.86","19,883.34"
13-Mar,"1,569.19","2,770.05","12,397.91","17,784.57"
13-Feb,"1,514.68","2,669.92","11,559.36","16,463.47"
13-Jan,"1,498.11","2,634.16","11,138.66","15,852.63"
12-Dec,"1,426.19","2,504.44","10,395.18","14,793.53"
12-Nov,"1,416.18","2,481.82","9,446.01","13,423.66"
12-Oct,"1,412.16","2,467.51","8,928.29","12,688.71"
12-Sep,"1,440.67","2,513.93","8,870.16","12,606.65"
12-Aug,"1,406.58","2,450.60","8,839.91","12,459.97"
12-Jul,"1,379.32","2,396.62","8,695.06","12,245.25"
12-Jun,"1,362.16","2,363.79","9,006.78","12,683.56"
12-May,"1,310.33","2,270.25","8,542.73","12,010.60"
12-Apr,"1,397.91","2,415.42","9,520.89","13,385.17"
12-Mar,"1,408.47","2,430.67","10,083.56","14,175.35"
12-Feb,"1,365.68","2,353.23","9,723.24","13,550.82"
12-Jan,"1,312.41","2,255.69","8,802.51","12,257.87"
11-Dec,"1,257.60","2,158.94","8,455.35","11,773.90"
11-Nov,"1,246.96","2,137.08","8,434.61","11,728.62"
11-Oct,"1,253.30","2,141.81","8,988.39","12,497.53"
11-Sep,"1,131.42","1,930.79","8,700.29","12,096.31"
11-Aug,"1,218.89","2,076.78","8,955.20","12,351.99"
11-Jul,"1,292.28","2,196.08","9,833.03","13,554.95"
11-Jun,"1,320.64","2,241.66","9,816.09","13,531.04"
11-May,"1,345.20","2,279.66","9,693.73","13,345.80"
11-Apr,"1,363.61","2,305.76","9,849.74","13,559.93"
11-Mar,"1,325.83","2,239.44","9,755.10","13,429.08"
11-Feb,"1,327.22","2,238.55","10,624.09","14,495.97"
11-Jan,"1,286.12","2,164.40","10,237.92","13,960.52"
10-Dec,"1,257.64","2,114.29","10,228.92","13,947.82"
10-Nov,"1,180.55","1,981.84","9,937.04","13,533.14"
10-Oct,"1,183.26","1,981.59","9,202.45","12,531.43"
10-Sep,"1,141.20","1,908.95","9,369.35","12,757.71"
10-Aug,"1,049.33","1,752.55","8,824.06","11,935.96"
10-Jul,"1,101.60","1,835.40","9,537.30","12,891.10"
10-Jun,"1,030.71","1,715.23","9,382.64","12,681.36"
10-May,"1,089.41","1,809.98","9,768.70","13,188.92"
10-Apr,"1,186.69","1,967.05","11,057.40","14,927.97"
10-Mar,"1,169.43","1,936.48","11,089.94","14,971.07"
10-Feb,"1,104.49","1,826.27","10,126.03","13,579.92"
10-Jan,"1,073.87","1,771.40","10,198.04","13,667.26"
09-Dec,"1,115.10","1,837.50","10,546.44","14,133.91"
09-Nov,"1,095.63","1,802.68","9,345.55","12,510.84"
09-Oct,"1,036.19","1,700.67","10,034.74","13,432.73"
09-Sep,"1,057.08","1,732.86","10,133.23","13,564.01"
09-Aug,"1,020.62","1,670.52","10,492.53","13,972.09"
09-Jul,987.48,"1,612.31","10,356.83","13,784.68"
09-Jun,919.32,"1,498.94","9,958.44","13,253.91"
09-May,919.14,"1,495.97","9,522.50","12,670.99"
09-Apr,872.81,"1,416.73","8,828.26","11,746.66"
09-Mar,797.87,"1,292.98","8,109.53","10,790.33"
09-Feb,735.09,"1,188.84","7,568.42","9,976.89"
09-Jan,825.88,"1,330.51","7,994.05","10,529.83"
08-Dec,903.25,"1,452.98","8,859.56","11,668.80"
08-Nov,896.24,"1,437.68","8,512.27","11,194.51"
08-Oct,968.75,"1,548.81","8,576.98","11,281.34"
08-Sep,"1,166.36","1,861.44","11,259.86","14,810.44"
08-Aug,"1,282.83","2,043.53","13,072.87","17,075.50"
08-Jul,"1,267.38","2,014.39","13,376.81","17,466.26"
08-Jun,"1,280.00","2,031.47","13,481.38","17,602.00"
08-May,"1,400.38","2,218.50","14,338.54","18,705.15"
08-Apr,"1,385.59","2,190.13","13,849.99","18,067.29"
08-Mar,"1,322.70","2,088.42","12,525.54","16,339.56"
